description,name,PONAME,ZIP,latitude,POP2001,STATE,AREA,zip2,longitude,SUMBLKPOP,geometry
,Zip:,MOUNTAIN VIEW,94040,37.3805,30871,CA,3.54283,94040,-122.086,30298,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.059813,37.375357,0.0 -122.059263,37.374807,0.0 -122.062562,37.359411,0.0 -122.096104,37.385805,0.0 -122.116999,37.4034,0.0 -122.108201,37.408349,0.0 -122.091705,37.400651,0.0 -122.059813,37.375357,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,MOUNTAIN VIEW,94041,37.3883,12980,CA,1.66059,94041,-122.076,12916,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.091705,37.400651,0.0 -122.052115,37.386904,0.0 -122.059813,37.375357,0.0 -122.091705,37.400651,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,MOUNTAIN VIEW,94043,37.4187,27537,CA,8.48136,94043,-122.077,27360,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.044416,37.394053,0.0 -122.047166,37.386904,0.0 -122.052115,37.386904,0.0 -122.091705,37.400651,0.0 -122.108201,37.408349,0.0 -122.102153,37.415498,0.0 -122.090606,37.450689,0.0 -122.060363,37.44519,0.0 -122.059813,37.434193,0.0 -122.044416,37.394053,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,PACIFICA,94044,37.6046,38385,CA,14.45005,94044,-122.482,38451,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.49476,37.664039,0.0 -122.471665,37.649192,0.0 -122.463967,37.638745,0.0 -122.443072,37.594205,0.0 -122.461218,37.566162,0.0 -122.520054,37.57551,0.0 -122.49476,37.664039,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,PESCADERO,94060,37.2105,1654,CA,53.13859,94060,-122.342,1654,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.24237,37.213145,0.0 -122.250618,37.187301,0.0 -122.292408,37.10757,0.0 -122.40898,37.286828,0.0 -122.305605,37.284079,0.0 -122.294607,37.27858,0.0 -122.347945,37.207097,0.0 -122.24237,37.213145,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,REDWOOD CITY,94061,37.4622,36710,CA,3.68774,94061,-122.235,36516,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.226423,37.442441,0.0 -122.230273,37.482582,0.0 -122.212127,37.469385,0.0 -122.226423,37.442441,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,REDWOOD CITY,94062,37.4037,26022,CA,84.19329,94062,-122.306,25994,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.189582,37.32037,0.0 -122.188482,37.316521,0.0 -122.330899,37.316521,0.0 -122.405131,37.325319,0.0 -122.402382,37.356661,0.0 -122.346295,37.511725,0.0 -122.337497,37.506226,0.0 -122.302306,37.493029,0.0 -122.244569,37.494129,0.0 -122.230273,37.482582,0.0 -122.226423,37.442441,0.0 -122.228623,37.424295,0.0 -122.24072,37.411648,0.0 -122.189582,37.32037,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,REDWOOD CITY,94063,37.5055,31110,CA,12.86691,94063,-122.21,31007,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.230273,37.482582,0.0 -122.244569,37.494129,0.0 -122.244569,37.507876,0.0 -122.163188,37.502927,0.0 -122.207178,37.466086,0.0 -122.212127,37.469385,0.0 -122.230273,37.482582,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,REDWOOD CITY,94065,37.5353,11011,CA,2.57761,94065,-122.247,10605,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.248418,37.521622,0.0 -122.256116,37.517223,0.0 -122.268214,37.528221,0.0 -122.248418,37.521622,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,SAN BRUNO,94066,37.6235,40234,CA,7.1198,94066,-122.434,40068,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.443072,37.594205,0.0 -122.463967,37.638745,0.0 -122.403482,37.635446,0.0 -122.396333,37.613451,0.0 -122.434274,37.610701,0.0 -122.443072,37.594205,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
